Gene	GO
Zm00001d020214	GO:0005515
Zm00001d014877	GO:0005515
Zm00001d008236	GO:0005515
Zm00001d016804	GO:0005515
Zm00001d011197	GO:0005515
Zm00001d021866	GO:0005515
Zm00001d017191	GO:0005515
Zm00001d010004	GO:0005515
Zm00001d036905	GO:0005515
Zm00001d011746	GO:0005515
Zm00001d023611	GO:0005515
Zm00001d022110	GO:0005515
Zm00001d027514	GO:0005515
Zm00001d041495	GO:0005515
Zm00001d038648	GO:0005515
Zm00001d014141	GO:0005515
Zm00001d025717	GO:0005515
Zm00001d030683	GO:0005515
Zm00001d017195	GO:0005515
Zm00001d014352	GO:0005515
Zm00001d032465	GO:0005515
Zm00001d012844	GO:0005515
Zm00001d042095	GO:0005515
Zm00001d005090	GO:0005515
Zm00001d014286	GO:0005515
Zm00001d014640	GO:0005515
Zm00001d019269	GO:0005515
Zm00001d046214	GO:0005515
Zm00001d053172	GO:0005515
Zm00001d000158	GO:0005515
Zm00001d002865	GO:0005515
Zm00001d029555	GO:0005515
Zm00001d018390	GO:0005515
Zm00001d049632	GO:0005515
Zm00001d009086	GO:0005515
Zm00001d042116	GO:0005515
Zm00001d010442	GO:0005515
Zm00001d028901	GO:0005515
Zm00001d027460	GO:0005515
Zm00001d039521	GO:0005515
Zm00001d002182	GO:0005515
Zm00001d048673	GO:0005515
Zm00001d038513	GO:0005515
Zm00001d043691	GO:0005515
Zm00001d025675	GO:0005515
Zm00001d032192	GO:0005515
Zm00001d020361	GO:0005515
Zm00001d050061	GO:0005515
Zm00001d033654	GO:0005515
Zm00001d025235	GO:0005515
Zm00001d010815	GO:0005515
Zm00001d003047	GO:0005515
Zm00001d028352	GO:0005515
Zm00001d046587	GO:0005515
Zm00001d052327	GO:0005515
Zm00001d028608	GO:0005515
Zm00001d036359	GO:0005515
Zm00001d049777	GO:0005515
Zm00001d034862	GO:0005515
Zm00001d018670	GO:0005515
Zm00001d021224	GO:0005515
Zm00001d050903	GO:0005515
Zm00001d002504	GO:0005515
Zm00001d009773	GO:0005515
Zm00001d019108	GO:0005515
Zm00001d009017	GO:0005515
Zm00001d033258	GO:0005515
Zm00001d036723	GO:0005515
Zm00001d042018	GO:0005515
Zm00001d049157	GO:0005515
Zm00001d047307	GO:0005515
Zm00001d050643	GO:0005515
Zm00001d012943	GO:0005515
Zm00001d053880	GO:0005515
Zm00001d007102	GO:0005515
Zm00001d045125	GO:0005515
Zm00001d022277	GO:0005515
Zm00001d014316	GO:0005515
Zm00001d007596	GO:0005515
Zm00001d008666	GO:0005515
Zm00001d005551	GO:0005515
Zm00001d042313	GO:0005515
Zm00001d000150	GO:0005515
Zm00001d032943	GO:0005515
Zm00001d020419	GO:0005515
Zm00001d051948	GO:0005515
Zm00001d028946	GO:0005515
Zm00001d016828	GO:0005515
Zm00001d018318	GO:0005515
Zm00001d007790	GO:0005515
Zm00001d052963	GO:0005515
Zm00001d003426	GO:0005515
Zm00001d031289	GO:0005515
Zm00001d023634	GO:0005515
Zm00001d013832	GO:0005515
Zm00001d015744	GO:0005515
Zm00001d005026	GO:0005515
Zm00001d006593	GO:0005515
Zm00001d019114	GO:0005515
Zm00001d043135	GO:0005515
Zm00001d012219	GO:0005515
Zm00001d018931	GO:0005515
Zm00001d000220	GO:0005515
Zm00001d000076	GO:0005515
Zm00001d034933	GO:0005515
Zm00001d030123	GO:0005515
Zm00001d012167	GO:0005515
Zm00001d038172	GO:0005515
Zm00001d003176	GO:0005515
Zm00001d052028	GO:0005515
Zm00001d005264	GO:0005515
Zm00001d025827	GO:0005515
Zm00001d039679	GO:0005515
Zm00001d021662	GO:0005515
Zm00001d046438	GO:0005515
Zm00001d034983	GO:0005515
Zm00001d002647	GO:0005515
Zm00001d026505	GO:0005515
Zm00001d051499	GO:0005515
Zm00001d033533	GO:0005515
Zm00001d048138	GO:0005515
Zm00001d045550	GO:0005515
Zm00001d036593	GO:0005515
Zm00001d012763	GO:0005515
Zm00001d006212	GO:0005515
Zm00001d044825	GO:0005515
Zm00001d018703	GO:0005515
Zm00001d053451	GO:0005515
Zm00001d033170	GO:0005515
Zm00001d036489	GO:0005515
Zm00001d014875	GO:0005515
Zm00001d041266	GO:0005515
Zm00001d024013	GO:0005515
Zm00001d051846	GO:0005515
Zm00001d021412	GO:0005515
Zm00001d016131	GO:0005515
Zm00001d024706	GO:0005515
Zm00001d017101	GO:0005515
Zm00001d032932	GO:0005515
Zm00001d046590	GO:0005515
Zm00001d010129	GO:0005515
Zm00001d017212	GO:0005515
Zm00001d023432	GO:0005515
Zm00001d018144	GO:0005515
Zm00001d002603	GO:0005515
Zm00001d042468	GO:0005515
Zm00001d028051	GO:0005515
Zm00001d046778	GO:0005515
Zm00001d046488	GO:0005515
Zm00001d052590	GO:0005515
Zm00001d046047	GO:0005515
Zm00001d040411	GO:0005515
Zm00001d002027	GO:0005515
Zm00001d047659	GO:0005515
Zm00001d015987	GO:0005515
Zm00001d012822	GO:0005515
Zm00001d047395	GO:0005515
Zm00001d048352	GO:0005515
Zm00001d014203	GO:0005515
Zm00001d042608	GO:0005515
Zm00001d016070	GO:0005515
Zm00001d008233	GO:0005515
Zm00001d007646	GO:0005515
Zm00001d052837	GO:0005515
Zm00001d018963	GO:0005515
Zm00001d035211	GO:0005515
Zm00001d016129	GO:0005515
Zm00001d030782	GO:0005515
Zm00001d002483	GO:0005515
Zm00001d021810	GO:0005515
Zm00001d006410	GO:0005515
Zm00001d014074	GO:0005515
Zm00001d040166	GO:0005515
Zm00001d047714	GO:0005515
Zm00001d050931	GO:0005515
Zm00001d043789	GO:0005515
Zm00001d052525	GO:0005515
Zm00001d017861	GO:0005515
Zm00001d018189	GO:0005515
Zm00001d047897	GO:0005515
Zm00001d005451	GO:0005515
Zm00001d040768	GO:0005515
Zm00001d006295	GO:0005515
Zm00001d012869	GO:0005515
Zm00001d051549	GO:0005515
Zm00001d032010	GO:0005515
Zm00001d017241	GO:0005515
Zm00001d007139	GO:0005515
Zm00001d016863	GO:0005515
Zm00001d008788	GO:0005515
Zm00001d012196	GO:0005515
Zm00001d035194	GO:0005515
Zm00001d025642	GO:0005515
Zm00001d008779	GO:0005515
Zm00001d030116	GO:0005515
Zm00001d039369	GO:0005515
Zm00001d002933	GO:0005515
Zm00001d023944	GO:0005515
Zm00001d028296	GO:0005515
Zm00001d021836	GO:0005515
Zm00001d025830	GO:0005515
Zm00001d024252	GO:0005515
Zm00001d006417	GO:0005515
Zm00001d035999	GO:0005515
Zm00001d047013	GO:0005515
Zm00001d050702	GO:0005515
Zm00001d014813	GO:0005515
Zm00001d037711	GO:0005515
Zm00001d000360	GO:0005515
Zm00001d041589	GO:0005515
Zm00001d014026	GO:0005515
Zm00001d001845	GO:0005515
Zm00001d025066	GO:0005515
Zm00001d019937	GO:0005515
Zm00001d025545	GO:0005515
Zm00001d008186	GO:0005515
Zm00001d021664	GO:0005515
Zm00001d029197	GO:0005515
Zm00001d052450	GO:0005515
Zm00001d004165	GO:0005515
Zm00001d033307	GO:0005515
Zm00001d027715	GO:0005515
Zm00001d043510	GO:0005515
Zm00001d031211	GO:0005515
Zm00001d040047	GO:0005515
Zm00001d015203	GO:0005515
Zm00001d020038	GO:0005515
Zm00001d044654	GO:0005515
Zm00001d022400	GO:0005515
Zm00001d033211	GO:0005515
Zm00001d037682	GO:0005515
Zm00001d042480	GO:0005515
Zm00001d034496	GO:0005515
Zm00001d036643	GO:0005515
Zm00001d011892	GO:0005515
Zm00001d048195	GO:0005515
Zm00001d042985	GO:0005515
Zm00001d026633	GO:0005515
Zm00001d029040	GO:0005515
Zm00001d049982	GO:0005515
Zm00001d004623	GO:0005515
Zm00001d015268	GO:0005515
Zm00001d051589	GO:0005515
Zm00001d001786	GO:0005515
Zm00001d024327	GO:0005515
Zm00001d044061	GO:0005515
Zm00001d031656	GO:0005515
Zm00001d008730	GO:0005515
Zm00001d049684	GO:0005515
Zm00001d019374	GO:0005515
Zm00001d041449	GO:0005515
Zm00001d019671	GO:0005515
Zm00001d048220	GO:0005515
Zm00001d052785	GO:0005515
Zm00001d010975	GO:0005515
Zm00001d040038	GO:0005515
Zm00001d021400	GO:0005515
Zm00001d026659	GO:0005515
Zm00001d040851	GO:0005515
Zm00001d030947	GO:0005515
Zm00001d033593	GO:0005515
Zm00001d039673	GO:0005515
Zm00001d030958	GO:0005515
Zm00001d051126	GO:0005515
Zm00001d027843	GO:0005515
Zm00001d021266	GO:0005515
Zm00001d048205	GO:0005515
Zm00001d039292	GO:0005515
Zm00001d019956	GO:0005515
Zm00001d050156	GO:0005515
Zm00001d013765	GO:0005515
Zm00001d010863	GO:0005515
Zm00001d031492	GO:0005515
Zm00001d024909	GO:0005515
Zm00001d010790	GO:0005515
Zm00001d049796	GO:0005515
Zm00001d040449	GO:0005515
Zm00001d030875	GO:0005515
Zm00001d046680	GO:0005515
Zm00001d052203	GO:0005515
Zm00001d016838	GO:0005515
Zm00001d036296	GO:0005515
Zm00001d025178	GO:0005515
Zm00001d023612	GO:0005515
Zm00001d039548	GO:0005515
Zm00001d042194	GO:0005515
Zm00001d007068	GO:0005515
Zm00001d031045	GO:0005515
Zm00001d045047	GO:0005515
Zm00001d040542	GO:0005515
Zm00001d004708	GO:0005515
Zm00001d029442	GO:0005515
Zm00001d039469	GO:0005515
Zm00001d035065	GO:0005515
Zm00001d001767	GO:0005515
Zm00001d052384	GO:0005515
Zm00001d038797	GO:0005515
Zm00001d026558	GO:0005515
Zm00001d016860	GO:0005515
Zm00001d036216	GO:0005515
Zm00001d010678	GO:0005515
Zm00001d028046	GO:0005515
Zm00001d014751	GO:0005515
Zm00001d031601	GO:0005515
Zm00001d043206	GO:0005515
Zm00001d051454	GO:0005515
Zm00001d032492	GO:0005515
Zm00001d014222	GO:0005515
Zm00001d014920	GO:0005515
Zm00001d018901	GO:0005515
Zm00001d049403	GO:0005515
Zm00001d006943	GO:0005515
Zm00001d010032	GO:0005515
Zm00001d042540	GO:0005515
Zm00001d012624	GO:0005515
Zm00001d028715	GO:0005515
Zm00001d029554	GO:0005515
Zm00001d009755	GO:0005515
Zm00001d003213	GO:0005515
Zm00001d008691	GO:0005515
Zm00001d038583	GO:0005515
Zm00001d016973	GO:0005515
Zm00001d046147	GO:0005515
Zm00001d028437	GO:0005515
Zm00001d040789	GO:0005515
Zm00001d039177	GO:0005515
Zm00001d015124	GO:0005515
Zm00001d046569	GO:0005515
Zm00001d012840	GO:0005515
Zm00001d048442	GO:0005515
Zm00001d049714	GO:0005515
Zm00001d050741	GO:0005515
Zm00001d005675	GO:0005515
Zm00001d045080	GO:0005515
Zm00001d017190	GO:0005515
Zm00001d035134	GO:0005515
Zm00001d046576	GO:0005515
Zm00001d043180	GO:0005515
Zm00001d000408	GO:0005515
Zm00001d013697	GO:0005515
Zm00001d052507	GO:0005515
Zm00001d010292	GO:0005515
Zm00001d041759	GO:0005515
Zm00001d033309	GO:0005515
Zm00001d007039	GO:0005515
Zm00001d018809	GO:0005515
Zm00001d014769	GO:0005515
Zm00001d020828	GO:0005515
Zm00001d040712	GO:0005515
Zm00001d044373	GO:0005515
Zm00001d051047	GO:0005515
Zm00001d035321	GO:0005515
Zm00001d025782	GO:0005515
Zm00001d048670	GO:0005515
Zm00001d024776	GO:0005515
Zm00001d038395	GO:0005515
Zm00001d009850	GO:0005515
Zm00001d046443	GO:0005515
Zm00001d006472	GO:0005515
Zm00001d012715	GO:0005515
Zm00001d028056	GO:0005515
Zm00001d033623	GO:0005515
Zm00001d022647	GO:0005515
Zm00001d002231	GO:0005515
Zm00001d029702	GO:0005515
Zm00001d038812	GO:0005515
Zm00001d050781	GO:0005515
Zm00001d014599	GO:0005515
Zm00001d002823	GO:0005515
Zm00001d008390	GO:0005515
Zm00001d049122	GO:0005515
Zm00001d016599	GO:0005515
Zm00001d041767	GO:0005515
Zm00001d042793	GO:0005515
Zm00001d026039	GO:0005515
Zm00001d012640	GO:0005515
Zm00001d004521	GO:0005515
Zm00001d012858	GO:0005515
Zm00001d008333	GO:0005515
Zm00001d021438	GO:0005515
Zm00001d049203	GO:0005515
Zm00001d011145	GO:0005515
Zm00001d038310	GO:0005515
Zm00001d027329	GO:0005515
Zm00001d008455	GO:0005515
Zm00001d034989	GO:0005515
Zm00001d019505	GO:0005515
